QAM64_N15dB_5Hz,
-1.25224628538075+0.616602464710031i,
1.05035716907744-0.332902833059488i,
1.14528681125889+1.5413866858245i,
0.763778089564131-1.61678946239008i,
0.836608055448062-0.878130633495793i,
1.7541308620547-0.981395373311454i,
-1.30386541236488+0.439122578575027i,
-0.551677785477386-1.38315646655925i,
1.76096852608427+0.121969106535589i,
-1.1532480351914+2.24675613672112i,
-1.59538260896056-3.30886095503164i,
-1.38077870955625+2.67723231943962i,
0.732749092618592+0.689850693408435i,
0.440239099344969+0.941879475127549i,
-1.62085237196978-1.96759446017758i,
0.0778609441202427+0.265499280038345i,
-2.92268300050827+0.00107739729066725i,
-4.32358879492416-1.57609237657652i,
-2.4246919865413+1.35131546557675i,
0.361641639020939+1.09686243143896i,
-0.954384331124827-5.88662087381579i,
-2.01719027236311+1.5322564280747i,
0.131350912510129-1.17494701523928i,
-4.87447523086695+0.46162082125904i,
-9.26784108798322+0.0492815966148692i,
2.17886898009694-0.570659883412333i,
-2.79199255206067+0.612763464299185i,
-2.34696321020922-0.0784779774304112i,
-1.8784296095778+4.18406949344631i,
4.27214408813308-1.94432754420156i,
2.0511237970107-1.33608732988125i,
-0.000571018317039207+1.12186967585702i,
2.02359503770107-0.204822175491916i,
-2.19432842512546-0.221951263500578i,
1.66943116426164+2.26716435391783i,
0.825043412270708-0.517791637722532i,
-0.27920900068406+1.38588953460774i,
1.79029863880561+0.874518388554044i,
-2.03830047946415+0.951280759533003i,
0.338627005345184+0.379892619873522i,
-0.256179651609163-0.924213285834142i,
0.0196669274193273-0.152700474123167i,
-0.596415412859952+0.308868405937624i,
1.12239094035588-1.16832651334148i,
-0.610202131430931-0.0199254187969607i,
-0.356098461383032+0.783897737772689i,
0.412340172301524-0.220720502672996i,
2.79294666701215-0.345944050315213i,
-0.249376523515435+1.57338322622545i,
1.50856668559343+1.93282212263207i,
0.811546406184918-0.0884310461033371i,
1.42974413884613+3.27348398498836i,
-0.0931930374884872-1.18250544885097i,
-0.272879906423605+2.39452402277151i,
-0.125258565242779+0.705298753538157i,
3.31224941788185-1.72851135091103i,
-2.81524594313465+3.57990063219478i,
0.983963673745921-0.288100471017478i,
2.47641913007603-0.891678722485524i,
0.988673124131293-0.500344767668271i,
-1.21670330497279+0.942296601853069i,
-2.36650522247438+2.11385499123757i,
0.426610392248111+3.13780608039671i,
0.505719005310863+2.03481975155221i,
-1.48110699278901-4.21759150545346i,
0.548250511043922+0.410108400582521i,
1.41111709324022-2.48645164250508i,
-0.618036887687153-0.896135026618786i,
-1.29286433812186-0.9534160790257i,
-0.282318162888671+1.55826671555696i,
1.81659055041005+0.126252148089334i,
-2.08432103633166-0.233235583802396i,
-0.523509337657434+1.11569155024955i,
3.01016947807096+1.1479309363383i,
-2.8005810392544+1.09786849130638i,
-1.95664498709557-2.62477549740977i,
0.212961019351905+1.82523911250295i,
-1.42583885486669-2.03686897721025i,
0.220320955665951-0.723292061150741i,
0.677923526940831+0.0725252726954368i,
0.117753540887341-0.931272418166192i,
0.593740286931475-0.733589780886145i,
-0.126643526305114-0.745481015285549i,
-0.375764514528281-0.315567928794781i,
-0.0612296315050033-0.0675384124548369i,
-0.0695635787837437-0.351183200036979i,
0.134200113692459-0.424296646512292i,
-0.567414547127515-0.152779673349854i,
0.332213637625264-0.339368474477287i,
0.419326762343132+0.281132079830408i,
-0.141380441149337-0.987919066465404i,
-0.435733555045342-0.166231631476317i,
1.2514421900458+0.197520536221328i,
0.180522959985136+0.35846585008812i,
-0.498542340586782+3.22011495765554i,
-0.660418499717086-0.226843659129269i,
-0.57840982042681-0.560472290312595i,
-2.20447531638041+3.26440684600657i,
-2.12388613200445+3.50283941765863i,
0.153609247826214+2.58503894561225i,
-3.01173267602413-0.32130100019863i,
-0.276946222044518-2.2775055001545i,
-1.19110466903029+2.53833405137756i,
-3.46074259044474-4.59892095353921i,
0.109931335106625-4.29407703142664i,
-4.34908580603958+1.03839043110122i,
-0.733724010301393-0.840647852848695i,
-2.64535634061313+1.41585211204567i,
-2.57537148385807-3.42758126659173i,
2.92418030477204+0.370164807932952i,
-4.48451216478499-1.21264669866521i,
0.18273322573733-0.444746474739568i,
-3.05406577003236-3.11563783460125i,
1.18717140845638-4.16463403641579i,
3.16695850481142+0.51165395072575i,
-0.491192722782703+0.383076228134857i,
0.274012838357327-4.12095163441942i,
6.28917409337216+1.4114878636697i,
2.57789299541534+3.9600335078309i,
1.74583665919672+6.37840176456804i,
-0.788599091119204-0.609995686605466i,
3.02794232079944+4.83878608400415i,
5.46418737787003+1.12144019510197i,
-2.21820614367146-3.38693845892313i,
-3.55242930248487-1.45387450755987i,
-0.0408379991425136+3.88478460084795i,
-1.53254742470902+3.78921877045783i,
-9.60653772545222+4.13733103505989i,